0:	0- 124762462043.34477
	32- 1144.126207586274
	33- 106.66028678244878
	34- 1017.6457470872222
	35- 268.7356406205503
	36- 805.0522884557976
	37- 196.1768533147755
	38- 366.24131388845905
	39- 14.746923417531821
	40- 112.5490181083723
	41- 31.321219548415257
	42- 1166.1134886580653
	43- 134.26363494689022
	44- 180.876792782735
	45- 195.094321390917
	46- 349.09008011131687
	47- 1087.8286396372412
	48- 98.16621698532741
	49- 232.56202454404186
	50- 703.8011560524646
	51- 156.8143590142982
	52- 184.4582921809143
	53- 616.2921587283976
	54- 12.568450334937026
	55- 274.1935773620306
	56- 202.9148976818226
	57- 35.368952959999234
	58- 53.22437002703405
	59- 10.882032048340566
	60- 13.467926634737974
	61- 72.85720087562107
	62- 52.96616380563151
	63- 863.8201830796525
	64- 934.7287207668285
	65- 738.2812959598684
	66- 30.896868873808888
	67- 15.626711551336259
	68- 62.32642416387724
	69- 133.70366308212766
	70- 16.115373985105414
	71- 202.54314733772605
	72- 421.49425572434944
	73- 3.206580433331532
	74- 36.90292164764533
	75- 3.5657068534642473
	76- 183.85990128398024
	77- 4.983308301342454
	78- 28.4463451838072
	79- 9.084168065805068
	80- 5.090138528033166
	81- 12.559656983909923
	82- 4.285660962729564
	83- 62.354545307779325
	84- 309.3423121639158
	85- 22.204089278292095
	86- 200.11813045180833
	87- 33.79120619747717
	88- 5.890637637388533
	89- 67.53152161616221
	90- 9.959258359914784
	91- 6.760016948852829
	92- 28.840611494837464
	93- 6.092031113538187
	94- 16.292591570671437
	95- 18.063030885102318
	96- 106.35099522511122
	97- 8.298173744462137
	98- 3.1806043592356046
	99- 7.554566816796085
4:	0- 248.57538745494318
	1- 520.5232661838156
	2- 7610.885582616919
	3- 18393.920584320615
	4- 566410975974.8533
	5- 987000.7215995977
	6- 40777.25437326394
	7- 5095.439098654323
	8- 183.11981565111972
	9- 7.6131180303756345
	10- 262.2434800639354
	11- 13131.963330438084
	12- 11788.549399257603
	13- 11657.780782368198
	14- 1628698.140206738
	15- 18208.749373149683
	16- 4352.309806690698
	17- 30.17397849156428
	18- 318.7216830177638
	19- 24.574154450709443
	20- 748.4849323179873
	21- 1381.8352276009127
	22- 21049.62429751779
	23- 61044.98550659325
	24- 1339.714667418756
	25- 2524.624611389009
	26- 8028.4921291158125
	27- 76.0538019736378
	28- 24.1183229695641
	29- 68.42416484595368
	30- 23.772635006994243
	31- 244.73086690525614
	32- 235.68065544540977
	33- 11101.167110141294
	34- 49289.73867455566
	35- 149.9798870573656
	36- 150.1520395150122
	37- 39.87548028415727
	38- 446.1899524416316
	39- 79.1086630778258
	40- 185.41448425766214
	41- 684.0355769614399
	42- 139.13585798408
	43- 46.041090915730514
	44- 306.993123422569
	45- 1608.8521719579305
	46- 32.52598159069949
	47- 30.98099034435295
	48- 35.541359808814555
	49- 37.91331954578875
	50- 57.3780607346023
	51- 75.51815109538587
	52- 15.297211661024287
	53- 61.50519766523301
	54- 91.48186807208742
	55- 137.85466387235164
	56- 362.8454530712333
	57- 44.14546281391279
	58- 0.3591005462744547
	59- 1912.013872586142
	60- 7.825526419172099
	61- 135.78574855653252
	62- 388.2462083182998
	63- 935.0895583770736
	64- 53.92981971715117
	65- 83.82924683763373
	66- 33.20075186976663
	67- 32.13955636161971
	68- 412.2811626953432
	69- 43.11423656128727
	70- 12.192323520913547
	71- 9.505406952419076
	72- 3.038503838071435
	73- 21.990932954585762
	74- 0.7769381847230978
	75- 2.8377781185118542
	76- 24.444124942610877
	77- 1092.7261339895886
	78- 61.63407396163595
	79- 22.791065543778615
	80- 5.692021414026501
	81- 9.314890705840376
	82- 37.21603779829361
	83- 61.31231691490166
	84- 0.9616257700188565
	85- 110.08858418077264
	86- 2.8129114148810124
	87- 37.20979816261376
	88- 2.423486582382246
	89- 4.215959976757642
	90- 24.161880497683704
	91- 18.89246740632896
	92- 1.6425119217692081
	93- 44.855076665484404
	94- 2.7071116140791527
	95- 28.765917493651497
	96- 63.91321776468821
	97- 7.621176029919471
	98- 64.79658626641978
	99- 5.380938384567197
5:	0- 97.03531298625985
	1- 1502.8113955065674
	2- 5492.44443380387
	3- 440.813973035478
	4- 150301.415203087
	5- 286153515164.0879
	6- 18047.9227380639
	7- 139.0633846222408
	8- 3966.176462212712
	9- 616.3121952540235
	10- 51.05990946253105
	11- 65.608776563017
	12- 709.2239860008735
	13- 14966.29864267767
	14- 9392.472798934232
	15- 14383.22694189731
	16- 13315.061872230386
	17- 5755.085835903599
	18- 741.2345849200971
	19- 1399.2885841201044
	20- 421.9363396885503
	21- 189.77063908191553
	22- 240.70928757392505
	23- 4144.804419235362
	24- 7145.967180913114
	25- 1270.785178148452
	26- 1702.3611451852846
	27- 14059.016391409696
	28- 388.13553233055154
	29- 59.83377477965508
	30- 181.18124522706032
	31- 33.14241788741486
	32- 297.1236521747111
	33- 19.827531690895047
	34- 231.7646371482598
	35- 510.63695294738596
	36- 20759.63902335188
	37- 1919.6503111564207
	38- 590.746142508654
	39- 32.317239109910005
	40- 52.39489088483066
	41- 55.922585884817565
	42- 144.326780486451
	43- 42.58471759531716
	44- 329.4021588250889
	45- 188.71988313719316
	46- 113.68890691665143
	47- 577.610048907387
	48- 51.025646183295315
	49- 146.7807459017971
	50- 82.14243400846534
	51- 26.642261703907156
	52- 89.83102562562472
	53- 1.889732658507934
	54- 569.3733509895868
	55- 293.7901438883211
	56- 181.09783416374606
	57- 62.71683016748248
	58- 7.60106019148097
	59- 136.29965387731946
	60- 15.345655048755937
	61- 8.97975747469516
	62- 24.28640744984459
	63- 50.93011398868762
	64- 89.16328464910497
	65- 517.5718892060044
	66- 175.59855468509443
	67- 20.927268475733914
	68- 65.45513307444814
	69- 30.647173098572125
	70- 13.891808787450511
	71- 16.738624588039286
	72- 0.9704752313656184
	73- 31.84268108951527
	74- 340.8406052442965
	75- 64.34190431538812
	76- 1.8864491927366553
	77- 938.3302080560459
	78- 15.3967958654946
	79- 94.4607863444714
	80- 10.32469812565672
	81- 3.1921487340360724
	82- 49.257541132582254
	83- 55.46395957687838
	84- 3.258207487707887
	85- 13.049884705524113
	86- 73.4710417494942
	87- 8.687723033645836
	88- 5.348230859205927
	89- 3.2263345037615188
	90- 12.394384518664724
	91- 24.39814573758506
	92- 8.5537952080844
	93- 21.56656881687518
	94- 11.654005878812827
	95- 14.033531880121151
	96- 7.059625611157487
	97- 4.063305981375512
	98- 13.168539766445816
	99- 34.26716551077762
6:	0- 2.7417986526647984
	1- 81.76598641038345
	2- 268.1074943053679
	3- 9371.857128269727
	4- 4089.934471515249
	5- 68549.27809017293
	6- 176350585978.1753
	7- 16578.48608074247
	8- 755.6413137285775
	9- 435.417449817164
	10- 87.00151245385078
	11- 38.729743307732306
	12- 287.83822907436144
	13- 837.963226190678
	14- 3702.129808291644
	15- 31738.474132914635
	16- 6963.036053604764
	17- 260056.39443168745
	18- 1244.6837820669507
	19- 476.2744354849226
	20- 2217.944327745282
	21- 1639.2783214992537
	22- 100.35982909992468
	23- 690.9841738211721
	24- 1700.9521812704495
	25- 952.5230124293822
	26- 109.37060487665245
	27- 922.7511168801209
	28- 1076.3115953469098
	29- 110.00023544053441
	30- 66.31040871742393
	31- 56.6743680575104
	32- 54.77876811028045
	33- 49.43889468130037
	34- 1600.5006640341683
	35- 3745.1061521668144
	36- 1043.5454255235945
	37- 2609.775049409987
	38- 97.8558610415807
	39- 1003.2087918717624
	40- 62.671855962517064
	41- 96.5277014985129
	42- 224.63061257151378
	43- 64.57947454834407
	44- 221.27439308181053
	45- 552.4615953789277
	46- 783.1073280027314
	47- 153.663721582324
	48- 76.42066037449483
	49- 926.4724149619288
	50- 48.09562528561963
	51- 6.793065935861249
	52- 7.519846655988946
	53- 319.0256911715123
	54- 13.780095469245202
	55- 22.5762396995783
	56- 213.26078001619024
	57- 438.32818978421955
	58- 100.76186762771542
	59- 117.45767638566912
	60- 13.956504785666867
	61- 13.720359089425642
	62- 13.818338377969953
	63- 81.13578127039393
	64- 13.234994160854562
	65- 19.487462159505036
	66- 99.53943674695608
	67- 10.063403477484291
	68- 15.26033046000379
	69- 58.301208157665066
	70- 5.48069232994516
	71- 1.3380374930884653
	72- 23.160487069814877
	73- 12.155561582637354
	74- 114.55574836989625
	75- 10.761241583870373
	76- 130.64562731255666
	77- 23.516795779963
	78- 186.98460225882963
	79- 30.580211178438752
	80- 80.91319270092892
	81- 7.4106375039534385
	82- 19.98128404713021
	83- 12.778648082806523
	84- 16.835461212390666
	85- 56.65531209109857
	86- 2.905565447282015
	87- 15.980243215828553
	88- 9.451420924680388
	89- 4.261810781456381
	90- 3.7760002512123125
	91- 7.443073175371305
	92- 20.821833600427183
	93- 1.006840624875987
	94- 12.369349643867034
	95- 9.962001675344853
	96- 14.089560913529153
	97- 63.86742967439664
	98- 12.363255059687667
	99- 12.19168377571253
7:	0- 11.065611008548274
	1- 1588.1217132883226
	2- 9.999378104606782
	3- 522.533044154361
	4- 422.72356051788404
	5- 13995.679925432989
	6- 57119.04546710277
	7- 375711875918.24506
	8- 212542.87235762083
	9- 3753.722214734435
	10- 81.8156701943623
	11- 900.6528386801573
	12- 95.11382502423115
	13- 296.96167664748145
	14- 5909.6519946049075
	15- 2233.06784571016
	16- 9449.31896441936
	17- 157250.35000715512
