0 6 12
0 6 13
0 6 22
0 6 23
0 37 -1
1 6 5
1 6 12
1 6 13
1 6 20
1 6 22
1 6 24
1 6 25
1 6 26
1 6 28
1 6 33
1 6 37
1 6 39
1 6 40
1 6 41
1 6 43
1 6 45
1 6 46
1 6 49
1 6 57
1 6 60
1 6 61
1 6 67
1 6 69
1 6 74
1 6 75
1 6 76
1 6 77
1 6 80
1 6 82
1 37 23
2 6 1
2 6 3
2 6 4
2 6 5
2 6 7
2 6 9
2 6 10
2 6 12
2 6 13
2 6 14
2 6 15
2 6 16
2 6 18
2 6 21
2 6 22
2 6 24
2 6 43
2 6 57
2 6 58
2 6 60
2 6 64
2 6 73
2 37 2
2 37 23
2 37 26
2 37 27
2 37 29
2 37 30
2 37 33
2 37 35
2 37 36
2 37 38
2 37 39
2 37 42
2 37 44
2 37 45
2 37 48
2 37 51
2 37 52
2 37 55
2 37 69
3 6 0
3 6 1
3 6 4
3 6 7
3 6 9
3 6 10
3 6 12
3 6 13
3 6 14
3 6 16
3 6 18
3 6 20
3 6 22
3 6 32
3 6 34
3 6 39
3 6 40
3 6 41
3 6 44
3 37 2
3 37 19
3 37 23
3 37 27
3 37 30
3 37 35
3 37 36
3 37 37
4 6 0
4 6 4
4 6 5
4 6 6
4 6 7
4 6 9
4 6 10
4 6 12
4 6 13
4 6 15
4 6 16
4 6 18
4 6 20
4 6 21
4 6 22
4 6 24
4 6 25
4 6 34
4 37 2
4 37 19
4 37 23
4 37 26
4 37 27
4 37 28
4 37 29
4 37 30
4 37 31
4 37 33
4 37 35
4 37 36
4 37 37
5 6 0
5 6 1
5 6 3
5 6 7
5 6 8
5 6 9
5 6 10
5 6 12
5 6 13
5 6 14
5 6 15
5 6 16
5 6 18
5 6 20
5 6 21
5 6 22
5 37 2
5 37 11
5 37 19
5 37 23
5 37 24
5 37 25
5 37 26
5 37 28
6 6 0
6 6 3
6 6 4
6 6 5
6 6 6
6 6 7
6 6 8
6 6 9
6 6 12
6 6 13
6 6 14
6 6 15
6 6 16
6 6 17
6 6 18
6 6 20
6 6 21
6 6 22
6 6 24
6 6 43
6 37 2
6 37 11
6 37 19
6 37 23
6 37 25
6 37 26
6 37 27
6 37 29
6 37 30
6 37 32
6 37 33
6 37 34
6 37 35
6 37 36
6 37 37
6 37 38
6 37 41
7 6 0
7 6 3
7 6 4
7 6 5
7 6 6
7 6 8
7 6 9
7 6 10
7 6 13
7 6 16
7 6 17
7 6 18
7 6 20
7 6 21
7 6 22
7 6 23
7 6 24
7 6 32
7 6 34
7 6 60
7 37 11
7 37 19
7 37 28
7 37 29
7 37 37
7 37 38
7 37 40
7 37 41
7 37 42
7 37 43
7 37 44
7 37 45
7 37 47
7 37 48
7 37 50
7 37 51
7 37 52
7 37 53
7 37 56
7 37 61
8 6 0
8 6 1
8 6 4
8 6 6
8 6 7
8 6 9
8 6 10
8 6 12
8 6 14
8 6 16
8 6 17
8 6 18
8 6 20
8 6 21
8 6 22
8 6 23
8 6 24
8 6 32
8 6 34
8 6 60
8 37 11
8 37 19
8 37 26
8 37 29
8 37 30
8 37 31
8 37 33
8 37 38
8 37 39
8 37 40
8 37 41
8 37 45
8 37 47
8 37 49
8 37 52
8 37 57
8 37 61
8 37 64
8 37 65
8 37 66
8 37 67
8 37 68
8 37 69
8 37 71
8 37 72
8 37 73
8 37 76
9 6 1
9 6 4
9 6 5
9 6 8
9 6 12
9 6 14
9 6 15
9 6 18
9 6 20
9 6 21
9 6 23
9 6 25
9 6 32
9 6 34
9 6 40
9 6 60
9 6 78
9 6 80
9 6 81
9 6 82
9 6 83
9 6 84
9 6 87
9 6 91
9 6 92
9 6 93
9 6 96
9 6 98
9 37 11
9 37 19
9 37 26
9 37 27
9 37 29
9 37 30
9 37 35
9 37 37
9 37 38
9 37 41
9 37 46
9 37 47
9 37 48
9 37 54
9 37 57
9 37 58
9 37 59
9 37 63
9 37 64
9 37 65
9 37 66
9 37 67
9 37 71
9 37 72
9 37 76
9 37 77
10 6 0
10 6 6
10 6 9
10 6 12
10 6 13
10 6 14
10 6 15
10 6 20
10 6 23
10 6 24
10 6 25
10 6 40
10 6 43
10 6 61
10 6 92
10 37 11
10 37 19
10 37 26
10 37 27
10 37 28
10 37 31
10 37 33
10 37 35
10 37 36
10 37 37
10 37 46
10 37 48
10 37 52
10 37 56
10 37 72
10 37 77
10 37 80
10 37 82
10 37 84
10 37 98
10 37 99
11 6 6
11 6 7
11 6 10
11 6 12
11 6 20
11 6 22
11 6 23
11 6 25
11 6 62
11 37 11
11 37 35
11 37 52
11 37 65
11 37 70
11 37 74
11 37 85
11 37 94
11 37 97
--- Done ---
