0 27 54
0 53 33
0 53 34
0 53 43
0 53 53
1 27 4
1 27 15
1 27 19
1 27 36
1 27 53
1 27 58
1 27 89
1 27 96
1 27 97
1 53 0
1 53 3
1 53 12
1 53 23
1 53 32
1 53 33
1 53 34
1 53 40
1 53 43
1 53 44
1 53 45
1 53 51
1 53 54
1 53 76
1 53 81
1 53 94
1 53 99
2 27 1
2 27 9
2 27 14
2 27 16
2 27 20
2 27 26
2 27 27
2 27 28
2 27 29
2 27 38
2 27 48
2 27 54
2 27 56
2 27 58
2 27 62
2 27 63
2 27 64
2 27 65
2 27 67
2 27 68
2 27 72
2 27 74
2 27 78
2 27 80
2 27 81
2 27 82
2 27 83
2 27 86
2 27 88
2 27 89
2 53 0
2 53 2
2 53 10
2 53 21
2 53 22
2 53 23
2 53 33
2 53 34
2 53 40
2 53 42
2 53 43
2 53 44
2 53 45
2 53 53
3 27 1
3 27 4
3 27 5
3 27 6
3 27 8
3 27 9
3 27 11
3 27 14
3 27 16
3 27 18
3 27 20
3 27 28
3 27 29
3 27 36
3 27 37
3 27 48
3 27 49
3 27 58
3 27 60
3 27 61
3 27 62
3 27 67
3 27 68
3 27 70
3 27 74
3 27 75
3 27 76
3 53 2
3 53 13
3 53 21
3 53 22
3 53 23
3 53 30
3 53 31
3 53 32
3 53 33
3 53 40
3 53 41
3 53 42
3 53 43
3 53 44
3 53 45
3 53 47
3 53 50
3 53 52
3 53 54
3 53 56
3 53 72
4 27 1
4 27 4
4 27 6
4 27 7
4 27 8
4 27 9
4 27 15
4 27 16
4 27 18
4 27 19
4 27 20
4 27 25
4 27 26
4 27 28
4 27 29
4 27 38
4 27 39
4 27 44
4 27 48
4 27 55
4 53 2
4 53 12
4 53 21
4 53 22
4 53 23
4 53 31
4 53 32
4 53 33
4 53 34
4 53 35
4 53 40
4 53 42
4 53 43
4 53 45
4 53 47
4 53 50
4 53 51
5 27 5
5 27 6
5 27 7
5 27 11
5 27 14
5 27 15
5 27 16
5 27 17
5 27 18
5 27 19
5 27 20
5 27 24
5 27 25
5 27 26
5 27 27
5 27 28
5 27 29
5 27 36
5 27 37
5 27 39
5 27 48
5 53 2
5 53 3
5 53 10
5 53 12
5 53 13
5 53 21
5 53 22
5 53 23
5 53 30
5 53 31
5 53 32
5 53 33
5 53 34
5 53 35
5 53 40
5 53 41
5 53 42
5 53 43
5 53 44
6 27 1
6 27 5
6 27 6
6 27 8
6 27 9
6 27 11
6 27 14
6 27 15
6 27 16
6 27 17
6 27 18
6 27 19
6 27 20
6 27 24
6 27 25
6 27 26
6 27 28
6 27 38
6 27 39
6 53 0
6 53 2
6 53 3
6 53 10
6 53 12
6 53 13
6 53 21
6 53 22
6 53 23
6 53 30
6 53 31
6 53 32
6 53 33
6 53 41
6 53 43
6 53 44
6 53 45
6 53 46
6 53 47
6 53 48
6 53 49
6 53 51
7 27 4
7 27 7
7 27 8
7 27 9
7 27 11
7 27 14
7 27 15
7 27 18
7 27 19
7 27 20
7 27 24
7 27 25
7 27 26
7 27 27
7 27 28
7 27 29
7 27 36
7 27 37
7 27 38
7 27 39
7 27 49
7 27 57
7 27 58
7 27 66
7 53 3
7 53 10
7 53 12
7 53 13
7 53 21
7 53 22
7 53 23
7 53 32
7 53 33
7 53 40
7 53 41
7 53 42
7 53 43
7 53 44
7 53 45
7 53 50
7 53 51
7 53 52
7 53 55
7 53 56
7 53 61
7 53 62
7 53 63
7 53 67
7 53 69
8 27 4
8 27 5
8 27 7
8 27 8
8 27 9
8 27 11
8 27 14
8 27 16
8 27 18
8 27 19
8 27 20
8 27 24
8 27 26
8 27 27
8 27 28
8 27 29
8 27 36
8 27 37
8 27 39
8 27 49
8 27 58
8 27 59
8 27 66
8 27 67
8 27 68
8 53 0
8 53 2
8 53 3
8 53 10
8 53 21
8 53 22
8 53 34
8 53 35
8 53 40
8 53 42
8 53 43
8 53 44
8 53 45
8 53 47
8 53 50
8 53 56
8 53 61
8 53 65
8 53 70
8 53 73
8 53 76
8 53 77
8 53 82
9 27 5
9 27 7
9 27 8
9 27 9
9 27 11
9 27 14
9 27 16
9 27 19
9 27 24
9 27 26
9 27 27
9 27 28
9 27 29
9 27 39
9 27 57
9 27 66
9 27 67
9 27 88
9 27 89
9 27 96
9 27 97
9 53 0
9 53 2
9 53 12
9 53 30
9 53 31
9 53 32
9 53 35
9 53 40
9 53 41
9 53 42
9 53 43
9 53 44
9 53 45
9 53 47
9 53 50
9 53 52
9 53 53
9 53 54
9 53 55
9 53 61
9 53 62
9 53 65
9 53 71
9 53 72
9 53 76
9 53 81
9 53 82
9 53 87
9 53 91
9 53 94
10 27 4
10 27 14
10 27 24
10 27 25
10 27 37
10 27 38
10 27 39
10 27 48
10 27 57
10 27 59
10 27 69
10 27 85
10 27 88
10 27 89
10 27 97
10 53 10
10 53 31
10 53 35
10 53 40
10 53 42
10 53 47
10 53 50
10 53 52
10 53 54
10 53 60
10 53 61
10 53 71
10 53 72
10 53 81
10 53 87
10 53 90
10 53 98
11 27 59
11 27 68
11 53 60
11 53 63
11 53 75
11 53 91
--- Done ---
